query_id,dataset,task_type,q_Qwen2.5-3B,c_Qwen2.5-3B,t_Qwen2.5-3B,q_Qwen2.5-7B,c_Qwen2.5-7B,t_Qwen2.5-7B,q_Qwen2.5-14B,c_Qwen2.5-14B,t_Qwen2.5-14B,q_DS-R1-Distill-14B,c_DS-R1-Distill-14B,t_DS-R1-Distill-14B
mbpp_0021,mbpp,code,1.0,6.838e-05,2817.0,1.0,6.51e-05,3655.8,1.0,0.00025284,5413.9,1.0,0.00058128,25977.0
mbpp_0022,mbpp,code,1.0,8.396e-05,3232.3,1.0,9.632e-05,5218.0,1.0,0.00029484,5753.1,1.0,0.00058436,23850.3
mbpp_0023,mbpp,code,0.0,7.29e-05,2946.7,0.0,8.61e-05,4904.6,1.0,0.0003066,6545.1,1.0,0.0048132,211253.1
mbpp_0024,mbpp,code,0.0,9.738e-05,3696.0,0.0,0.00011515,6225.2,1.0,0.00037464,7481.4,1.0,0.00087066,34921.2
mbpp_0025,mbpp,code,1.0,0.00010736,4467.5,1.0,0.00011382,6668.4,1.0,0.00030716,6612.6,1.0,0.00173768,74093.5
mbpp_0026,mbpp,code,1.0,4.972e-05,1977.6,1.0,6.097e-05,3435.8,1.0,0.00019236,3959.3,1.0,0.0003479,15565.0
mbpp_0027,mbpp,code,1.0,8.558e-05,3338.4,1.0,9.128e-05,4969.5,1.0,0.00030296,6160.1,1.0,0.00067172,28144.4
mbpp_0028,mbpp,code,0.0,0.00015972,6285.4,0.0,0.00019026,10654.7,0.0,0.00050764,10284.6,1.0,0.00369824,165353.4
mbpp_0029,mbpp,code,1.0,7.972e-05,3186.6,1.0,9.226e-05,5213.9,1.0,0.00037884,8227.4,1.0,0.00090272,39845.7
mbpp_0030,mbpp,code,1.0,7.936e-05,3133.5,1.0,8.694e-05,4811.5,1.0,0.0002716,5574.8,1.0,0.00054432,24101.6
mbpp_0031,mbpp,code,1.0,6.11e-05,2323.9,1.0,8.162e-05,4486.7,1.0,0.00025228,5082.0,1.0,0.0004676,21159.7
mbpp_0032,mbpp,code,0.0,8.25e-05,3336.3,1.0,0.00010094,5809.1,1.0,0.00028448,6081.2,1.0,0.00148568,66849.9
mbpp_0033,mbpp,code,0.0,0.00013818,5510.8,0.0,0.00014168,7946.4,1.0,0.00034832,6878.4,1.0,0.00148652,65518.2
mbpp_0034,mbpp,code,1.0,7.49e-05,3029.9,1.0,7.672e-05,4324.8,1.0,0.00029064,6229.8,1.0,0.0003626,15463.6
mbpp_0035,mbpp,code,1.0,6.832e-05,2753.4,1.0,9.135e-05,5321.5,1.0,0.00040124,8958.7,1.0,0.0006321,29266.3
mbpp_0036,mbpp,code,1.0,6.808e-05,2694.3,0.0,7.609e-05,4242.0,0.0,0.0002744,5852.5,1.0,0.00126294,54910.1
mbpp_0037,mbpp,code,1.0,9.58e-05,3775.6,1.0,8.778e-05,4747.8,1.0,0.00027804,5536.0,1.0,0.00223384,103349.8
mbpp_0038,mbpp,code,0.0,6.478e-05,2619.7,1.0,6.223e-05,3488.6,1.0,0.00024976,5466.1,1.0,0.00045178,18003.8
mbpp_0039,mbpp,code,1.0,0.00011502,4350.3,1.0,0.00014546,7972.3,1.0,0.00044072,8820.8,1.0,0.00080192,31367.8
mbpp_0040,mbpp,code,1.0,0.00010048,4140.0,1.0,0.00010948,6380.6,1.0,0.00025032,5316.4,1.0,0.00094892,40010.9
mbpp_0041,mbpp,code,0.0,4.636e-05,1793.3,0.0,0.00011823,6989.0,1.0,0.00019096,3969.5,1.0,0.00113554,53195.6
mbpp_0042,mbpp,code,0.0,0.00010734,4074.6,1.0,0.00011004,5810.5,1.0,0.00037352,7273.2,1.0,0.00049644,20601.2
mbpp_0043,mbpp,code,1.0,8.626e-05,3429.9,1.0,7.833e-05,4301.2,1.0,0.00028728,6016.2,1.0,0.00060494,28813.6
mbpp_0044,mbpp,code,1.0,0.00012908,4936.0,1.0,0.00013244,7053.0,1.0,0.00042644,8383.2,1.0,0.00058828,26946.2
mbpp_0045,mbpp,code,1.0,0.00014804,5669.3,0.0,0.00015554,8312.5,1.0,0.00052556,10488.1,1.0,0.0011004,49104.7
mbpp_0046,mbpp,code,1.0,8.092e-05,3225.0,1.0,9.093e-05,5099.7,1.0,0.00031584,6669.9,1.0,0.00059766,26322.5
mbpp_0047,mbpp,code,1.0,8.494e-05,3466.6,1.0,8.89e-05,5071.3,1.0,0.00034104,7483.0,1.0,0.00104664,47639.5
mbpp_0048,mbpp,code,1.0,0.0001164,4694.1,1.0,7.987e-05,4270.4,1.0,0.00028168,5617.4,1.0,0.00072394,30912.0
mbpp_0049,mbpp,code,1.0,6.534e-05,2641.9,1.0,9.793e-05,5646.9,0.0,0.00029736,6565.8,1.0,0.00065366,31551.3
mbpp_0050,mbpp,code,1.0,0.0001049,4266.9,1.0,0.00013713,7882.8,1.0,0.00038892,8479.1,1.0,0.00372302,194380.8
mbpp_0051,mbpp,code,0.0,7.348e-05,2955.9,1.0,9.534e-05,5420.9,1.0,0.000266,5702.0,1.0,0.00061488,30234.9
mbpp_0052,mbpp,code,1.0,0.00016026,6235.3,1.0,0.00019299,10529.0,1.0,0.0005222,10547.1,1.0,0.00129514,63933.6
mbpp_0053,mbpp,code,0.0,0.00011984,4887.4,0.0,0.00011627,6478.9,0.0,0.00046032,10076.0,0.0,0.00135786,68721.0
mbpp_0054,mbpp,code,0.0,8.952e-05,3592.2,1.0,0.00014217,8121.5,1.0,0.00043624,9515.4,1.0,0.00307902,164314.5
mbpp_0055,mbpp,code,0.0,9.744e-05,4015.5,0.0,0.00013363,7699.4,0.0,0.0003192,6815.3,0.0,0.0126833,651952.9
mbpp_0056,mbpp,code,1.0,6.36e-05,2452.8,1.0,6.405e-05,3307.0,1.0,0.0002394,4789.3,1.0,0.00056462,26890.7
mbpp_0057,mbpp,code,1.0,0.00012636,5305.0,1.0,8.316e-05,4671.5,1.0,0.00026516,5664.9,1.0,0.0007658,42664.2
mbpp_0058,mbpp,code,1.0,8.278e-05,3368.7,1.0,9.142e-05,5114.7,1.0,0.00029876,6370.5,1.0,0.00087808,49473.5
mbpp_0059,mbpp,code,1.0,6.226e-05,2491.9,1.0,8.946e-05,5069.9,1.0,0.000266,5739.1,1.0,0.00071456,38969.2
mbpp_0060,mbpp,code,0.0,0.0001278,5194.8,0.0,0.00013538,7502.3,0.0,0.00043568,9341.7,0.0,0.00755664,373369.2
mbpp_0061,mbpp,code,1.0,4.82e-05,1871.4,1.0,6.349e-05,3497.9,1.0,0.00025984,5594.7,1.0,0.00058702,29676.3
mbpp_0062,mbpp,code,1.0,7.668e-05,3062.4,1.0,0.00011361,6562.8,1.0,0.00027132,5725.9,1.0,0.00106134,49958.5
mbpp_0063,mbpp,code,0.0,0.00010622,4403.2,1.0,0.00013209,7669.5,1.0,0.00052584,11948.5,1.0,0.00203238,97659.1
